method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
GA,100,6,1,4.314803,4.431727,10,1.921132075899024,1.7414770617212554,audit_grid,101.51576173715478,91.83835883642615,193.35412057358093,1355.2239790419699,2837,240,3077,
BO-online,100,6,1,5.690987510036642,1.9615388078283498,12,8.193349820132426,1.3264236292525453,audit_grid,141.26821238008603,75.79229035751557,217.0605027376016,544.6014607090037,1071,240,1311,
MARL,100,6,1,4.802,5.401,4,51.936723834677665,51.9299072959915,audit_grid,44.46138890056087,36.24991003926557,80.71129893982643,30.277861000038683,60,240,300,
GA,100,7,1,3.577167,2.732345,11,10.625162285631077,0.0981994565871247,audit_grid,104.3455388633742,94.16838252251377,198.51392138588795,1221.0698204590008,3142,240,3382,
BO-online,100,7,1,4.289300567293023,1.9477283653603816,11,16.796172542386202,2.4463423606342474,audit_grid,114.31404793366357,77.50913461441525,191.82318254807882,435.3545782500296,1071,240,1311,
MARL,100,7,1,4.802,1.807,9,32.696984279652355,14.556539821224618,audit_grid,99.7477461563287,67.36900292660866,167.11674908293736,24.502314708021004,60,240,300,
GA,100,8,1,3.863937,4.057126,7,20.942200113899176,20.55721452607395,audit_grid,71.36480939867194,50.788234083090494,122.15304348176244,1142.6086133330246,2939,240,3179,
BO-online,100,8,1,3.7642257899860945,1.7499425455322062,12,21.815415711869463,1.8985755837950649,audit_grid,118.40302186082361,69.59770182128824,188.00072368211187,472.65966233296786,1071,240,1311,
MARL,100,8,1,4.802,5.401,4,16.792602241397077,21.920565852529272,audit_grid,47.3821042825428,34.88791732081685,82.27002160335965,25.607027582998853,60,240,300,
GA,100,9,1,3.626321,3.736914,8,5.492558352548528,11.211680736100249,audit_grid,78.15156522989646,65.29924363364765,143.45080886354413,1246.8902070830227,3197,240,3437,
BO-online,100,9,1,3.7642257899860945,1.7499425455322062,12,6.552782136987915,4.899777170308397,audit_grid,120.60891648990322,69.59770182128824,190.20661831119145,477.5690318339621,1071,240,1311,
MARL,100,9,1,4.802,5.401,3,31.339998013832478,35.620426015265764,audit_grid,34.70490645191261,24.078861893501017,58.783768345413634,24.359246791980695,60,240,300,
GA,100,10,1,0.545594,4.48484,15,12.91559612077711,5.407530800077666,audit_grid,53.5594,145.6008725612669,199.16027256126688,935.3321821249556,2969,240,3209,
