pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps,social_cost,centralized_success
1.03030303,0.1212121212,35.62147802,4.448484848,40.06996287,45.71363234,390.3577368,1
1.090909091,0.1212121212,36.6753467,4.448484848,41.12383155,44.58843748,392.4434524,1
1.151515152,0.1212121212,37.69822419,4.448484848,42.14670904,43.45175791,394.4719922,1
1.212121212,0.1212121212,38.69341405,4.448484848,43.1418989,43.44961856,396.4478159,1
1.272727273,0.1212121212,39.6676702,4.448484848,44.11615505,43.45003806,398.3748313,1
1.333333333,0.1212121212,40.61537903,4.448484848,45.06386388,42.27773671,400.2564857,1
1.393939394,0.1212121212,41.54308483,4.448484848,45.99156968,42.27751549,402.0958403,1
1.454545455,0.1212121212,42.44566318,4.448484848,46.89414803,41.07460044,403.895624,1
1.515151515,0.1212121212,43.33356844,4.448484848,47.78205329,41.07389509,405.658287,1
1.575757576,0.1212121212,44.97632596,4.448484848,49.42481081,38.78787879,408.4258624,1
1.636363636,0.1212121212,38.75174216,4.448484848,43.20022701,39.91091066,412.0132315,1
1.696969697,0.1212121212,39.47276932,4.448484848,43.92125417,36.36363636,413.4442192,1
1.757575758,0.1212121212,40.17944532,4.448484848,44.62793017,36.36363636,414.8498737,1
1.818181818,0.1212121212,40.87476851,4.448484849,45.32325336,34.60441659,416.2314947,1
1.878787879,0.1212121212,41.06813102,4.448484848,45.51661586,34.60627735,420.8989858,1
1.939393939,0.1212121212,42.22841121,4.448484848,46.67689606,31.65947668,418.9273091,1
2,0.1212121212,42.89140479,4.448484849,47.33988964,32.66707268,420.2436109,1
2.060606061,0.1212121212,43.54236282,4.448484849,47.99084766,31.65954267,421.5401154,1
2.121212121,0.1212121212,44.18408591,4.448484849,48.63257076,32.64867727,422.8176896,1
2.181818182,0.1212121212,44.81608495,4.448484848,49.2645698,31.65650233,424.0771721,1
2.242424242,0.1212121212,45.44079719,4.448484848,49.88928204,30.62307745,425.3192153,1
2.303030303,0.1212121212,46.05584337,4.448484849,50.50432822,29.55209602,426.5446166,1
2.363636364,0.1212121212,55.20242037,4.448484848,59.65090522,29.55518553,428.7714361,1
2.424242424,0.1212121212,55.91104166,4.448484848,60.35952651,30.64926774,430.1838878,1
2.484848485,0.1212121212,47.85587712,4.448484848,52.30436197,28.45553835,430.1271098,1
2.545454545,0.1212121212,48.85455893,4.448484848,53.30304378,29.55467111,434.8069684,1
2.606060606,0.1212121212,56.98968173,4.448484848,61.43816658,28.45227512,432.8333575,1
2.666666667,0.1212121212,49.58827971,4.448484848,54.03676455,28.45204259,433.5807631,1
2.727272727,0.1212121212,50.57446797,4.448484849,55.02295282,28.45218387,437.2693789,1
2.787878788,0.1212121212,50.71057031,4.448484849,55.15905516,26.12811457,435.818118,1
