pE,pN,combined_gap
0.7211864407,0.3855932203,153.18246089000002
0.8050847458,0.3855932203,148.43699659
0.8889830508,0.3855932203,144.24159559
0.9728813559,0.3855932203,140.50338459
1.056779661,0.3855932203,136.56232229
1.140677966,0.3855932203,133.13772909
1.224576271,0.3855932203,130.19613029
1.308474576,0.3855932203,127.25903419
1.392372881,0.3855932203,124.21126419000001
1.476271186,0.3855932203,121.80635679
1.560169492,0.3855932203,117.72703899000001
1.644067797,0.3855932203,114.05548759000001
1.727966102,0.3855932203,110.46922609
1.811864407,0.3855932203,107.99257319
1.895762712,0.3855932203,105.32557029
1.979661017,0.3855932203,103.33274779
2.063559322,0.3855932203,101.01436419000001
2.147457627,0.3855932203,98.48262109000001
2.231355932,0.3855932203,95.52779919000001
2.315254237,0.3855932203,92.41401809
2.399152542,0.3855932203,90.65414379
2.483050847,0.3855932203,88.69660839000001
2.566949153,0.3855932203,86.63238459
2.650847458,0.3855932203,84.5878462
2.734745763,0.3855932203,82.5537659
2.818644068,0.3855932203,81.70425309000001
2.902542373,0.3855932203,79.70875052000001
2.986440678,0.3855932203,78.67566794000001
3.070338983,0.3855932203,77.37211469
3.154237288,0.3855932203,74.78620488
3.238135593,0.3855932203,73.80607368000001
3.322033898,0.3855932203,71.34001166
3.405932203,0.3855932203,69.01111993
3.489830508,0.3855932203,68.26434837000001
3.573728814,0.3855932203,65.43862534
3.657627119,0.3855932203,64.42309983000001
3.741525424,0.3855932203,61.636693220000005
3.825423729,0.3855932203,61.30410319
3.909322034,0.3855932203,58.66179191999999
3.993220339,0.3855932203,57.58487752999999
4.077118644,0.3855932203,56.30087210999999
4.161016949,0.3855932203,55.58320787
4.244915254,0.3855932203,54.26214115999999
4.328813559,0.3855932203,53.560006699999995
4.412711864,0.3855932203,51.59857021
4.496610169,0.3855932203,50.43388327
4.580508475,0.3855932203,48.84937573
4.66440678,0.3855932203,48.1158315
4.748305085,0.3855932203,47.727832809999995
4.83220339,0.3855932203,45.97021553
4.916101695,0.3855932203,45.28545759
5.0,0.3855932203,43.97265751
0.05,0.4694915254,154.68311447999997
0.1338983051,0.4694915254,154.68311447999997
0.2177966102,0.4694915254,154.68311447999997
0.3016949153,0.4694915254,154.68311447999997
0.3855932203,0.4694915254,154.68311447999997
0.4694915254,0.4694915254,154.68311447999997
0.5533898305,0.4694915254,154.68311447999997
0.6372881356,0.4694915254,154.55913338
0.7211864407,0.4694915254,149.82652868000002
0.8050847458,0.4694915254,145.08106438
0.8889830508,0.4694915254,140.88566337999998
0.9728813559,0.4694915254,137.14745238
1.056779661,0.4694915254,133.20639008
1.140677966,0.4694915254,129.78179688
1.224576271,0.4694915254,126.84019808000001
1.308474576,0.4694915254,123.90310197999999
1.392372881,0.4694915254,120.85533198
1.476271186,0.4694915254,118.45042457999999
1.560169492,0.4694915254,114.37110678
1.644067797,0.4694915254,110.69955538
1.727966102,0.4694915254,107.11329388
1.811864407,0.4694915254,104.63664098
