provider,point_group,boundary_price,pE,pN,candidate_set_size,candidate_set
E,unique,0.921061165534,0.921061165534,0.5,17,5;6;10;12;15;25;38;45;46;48;65;70;75;77;90;93;97
E,unique,0.796696015728,0.796696015728,0.5,18,1;5;6;10;12;15;25;38;45;46;48;65;70;75;77;90;93;97
E,unique,0.922307477926,0.922307477926,0.5,19,1;5;6;10;12;15;25;38;45;46;48;55;65;70;75;77;90;93;97
E,unique,2.53813595493,2.53813595493,0.5,20,1;5;6;10;12;15;25;38;45;46;48;55;65;70;75;77;90;93;96;97
E,unique,2.12564570072,2.12564570072,0.5,21,1;5;6;10;12;15;25;38;45;46;48;55;65;70;75;77;82;90;93;96;97
E,unique,1.79937158396,1.79937158396,0.5,22,1;5;6;10;12;15;25;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,1.45080022379,1.45080022379,0.5,23,1;5;6;10;12;15;25;36;38;45;46;48;55;65;70;75;77;82;90;93;95;96;97
E,unique,1.49312172321,1.49312172321,0.5,24,1;5;6;10;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;90;93;95;96;97
E,unique,2.32587915823,2.32587915823,0.5,25,1;5;6;10;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;89;90;93;95;96;97
E,unique,2.05171526414,2.05171526414,0.5,26,1;5;6;10;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97
E,unique,1.7665427162,1.7665427162,0.5,27,1;5;6;10;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.03349449883,2.03349449883,0.5,28,1;2;5;6;10;12;15;25;36;38;45;46;48;55;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,3.01793576648,3.01793576648,0.5,29,1;2;5;6;10;12;15;25;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,2.49586654826,2.49586654826,0.5,30,1;2;5;6;10;12;14;15;25;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
E,unique,4.01817682765,4.01817682765,0.5,31,1;2;5;6;10;12;14;15;25;28;36;38;45;46;48;55;56;65;70;74;75;77;82;87;89;90;93;95;96;97;99
