provider,pE,pN
N,0.5,11.428954218402
N,0.5,11.461039981417
N,0.5,11.530680969879
N,0.5,11.562519567057
N,0.5,11.566908316751
N,0.5,11.568150883368
N,0.5,11.572129798705
N,0.5,11.62305437831
N,0.5,11.674168936477
N,0.5,11.741806535389
N,0.5,11.785596813941
N,0.5,11.797477570876
N,0.5,11.803559960808
N,0.5,11.822257850425
N,0.5,11.837155822466
N,0.5,11.85273688965
N,0.5,11.900057848897
N,0.5,11.948613403678
N,0.5,11.990384257948
N,0.5,12.075272557342
N,0.5,12.083028546541
N,0.5,12.098545405442
N,0.5,12.118306796304
N,0.5,12.126283885733
N,0.5,12.13584963044
N,0.5,12.194454712821
N,0.5,12.367276740812
N,0.5,12.373613067722
N,0.5,12.415756517296
N,0.5,12.451097265565
N,0.5,12.471894577151
N,0.5,12.561707019186
N,0.5,12.565844230599
N,0.5,12.662660213441
N,0.5,12.669181059613
N,0.5,12.694386705016
N,0.5,12.716280791738
N,0.5,12.734595762214
N,0.5,12.825592749719
N,0.5,12.933540030197
N,0.5,12.993738872577
N,0.5,13.016761188433
N,0.5,13.022389831601
N,0.5,13.059379193362
N,0.5,13.113299278888
N,0.5,13.139014401926
N,0.5,13.319868547006
N,0.5,13.351412363554
N,0.5,14.510369840838
N,0.5,14.723434286724
N,0.5,14.830684317942
N,0.5,14.861377129476
N,0.5,14.897965827596
N,0.5,15.00162649316
N,0.5,15.024220276063
N,0.5,15.123188295593
N,0.5,15.34093565058
N,0.5,15.368879120727
N,0.5,15.445261114724
N,0.5,15.445612641501
N,0.5,15.527263792527
N,0.5,15.567338075635
N,0.5,15.723695408336
N,0.5,15.727448120775
N,0.5,15.736116708798
N,0.5,15.874321738554
N,0.5,15.925816059107
N,0.5,15.962553720941
N,0.5,15.966246329219
N,0.5,16.048632906189
N,0.5,16.077564485795
N,0.5,16.181970674304
N,0.5,16.248640048306
N,0.5,16.291840026571
N,0.5,16.339718977668
N,0.5,16.35443737721
N,0.5,16.406747333315
N,0.5,16.473941722227
N,0.5,16.495110996386
N,0.5,16.497484393616
N,0.5,16.520370245959
N,0.5,16.605253107331
N,0.5,16.655171297862
N,0.5,16.656287327011
N,0.5,16.717563796597
N,0.5,17.007487835388
N,0.5,17.061310752498
N,0.5,17.096112297525
N,0.5,17.240804778266
N,0.5,17.424487222103
N,0.5,17.591584187771
N,0.5,17.672448300877
N,0.5,18.904062071535
N,0.5,18.935701875946
N,0.5,19.038620636445
N,0.5,19.477898804969
N,0.5,19.509081135126
N,0.5,19.523230253006
N,0.5,19.539295460744
N,0.5,19.583269797688
N,0.5,19.630997307713
N,0.5,19.880333164892
N,0.5,20.015864360184
N,0.5,20.059368291186
N,0.5,20.139017958846
N,0.5,20.143891752918
N,0.5,20.168697522197
N,0.5,20.179457870135
N,0.5,20.191606157063
N,0.5,20.258055305841
N,0.5,20.279765576621
N,0.5,20.301479047954
N,0.5,20.304574369344
N,0.5,20.31479478777
N,0.5,20.573203655461
N,0.5,20.624455061768
N,0.5,20.649898189726
N,0.5,20.652835357749
N,0.5,20.704881782494
N,0.5,20.815146675258
N,0.5,20.847940115775
N,0.5,20.850970592953
N,0.5,20.865982910144
N,0.5,20.911561193627
N,0.5,20.928524482778
N,0.5,20.964065983536
N,0.5,21.054588336461
N,0.5,21.082229659521
N,0.5,21.112412527135
N,0.5,21.229446701502
N,0.5,21.30146193807
N,0.5,21.388682562758
N,0.5,21.444231070149
N,0.5,21.488558859468
N,0.5,21.589054847618
N,0.5,21.601184629913
N,0.5,21.644520694709
N,0.5,21.700646129249
N,0.5,21.722838800023
N,0.5,21.724467703526
N,0.5,21.751731200136
N,0.5,21.833483531907
N,0.5,21.866460854605
N,0.5,21.881916218694
N,0.5,21.884756588248
N,0.5,21.94443992588
N,0.5,22.011284720085
N,0.5,22.25148333725
N,0.5,22.335457206455
N,0.5,22.355466588687
N,0.5,22.400619691753
N,0.5,22.4209148071
N,0.5,22.484382127706
N,0.5,22.489272782137
N,0.5,22.576809202902
N,0.5,22.715344462557
N,0.5,22.993741050346
N,0.5,23.02946258484
N,0.5,23.066694397661
N,0.5,23.264631708587
N,0.5,23.501321572447
N,0.5,23.519140305542
N,0.5,23.78038072138
N,0.5,23.782704036808
N,0.5,24.059974711349
N,0.5,24.162339659278
N,0.5,24.520921364693
N,0.5,24.582612972234
N,0.5,24.586779884643
N,0.5,24.612126172137
N,0.5,25.144121295486
N,0.5,25.209583021179
N,0.5,25.33544612949
N,0.5,25.399987688014
N,0.5,25.645283015629
N,0.5,26.035373620029
N,0.5,26.165140783646
N,0.5,26.417980091943
N,0.5,26.876359242164
N,0.5,27.144032323654
N,0.5,27.460352417532
N,0.5,27.818087751991
N,0.5,27.958561947525
N,0.5,28.370998779627
N,0.5,28.670048649033
N,0.5,28.842300886274
N,0.5,29.417796775732
N,0.5,29.514757154218
N,0.5,30.081926954275
N,0.5,30.229254879304
N,0.5,30.666887455531
N,0.5,30.902431632335
N,0.5,31.399527674
N,0.5,31.495277907679
N,0.5,34.065667955998
