trial,trial_seed,n_users,ratio,F,B,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
2,502378,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,1.9860383441709615,1.3765840177002624,1.9760383441709615,1.3665840177002624,0.36131389501864586,1.0,0.2,10,970.9572417002983,63.859428069527276,61.11549521085125,124.97492328037853,0.0,5,49,1.367425199598074,vbbr_brd,verified_gain_tolerance
2,502378,50,2.5,100.0,40.0,0.01,0.01,1.896006841167177,1.4291079261546944,1.886006841167177,1.4191079261546944,0.3307527940145976,1.0,0.2,10,971.3395855434891,62.38020322466892,56.76431704618778,119.1445202708567,0.0,5,49,1.5267648994922638,vbbr_brd,verified_gain_tolerance
2,502378,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,1.6491658541670622,1.7490484896985898,1.6391658541670622,1.7390484896985898,0.32180889439649984,0.9532967741209852,0.2,10,974.601093189536,57.78452729769355,60.53536749776826,118.3198947954618,0.0,10,79,2.680434100329876,vbbr_brd,verified_gain_tolerance
2,502378,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,2.6551576697990478,1.279300010798015,2.645157669799048,1.269300010798015,0.17750793359437214,0.9999999999999999,0.16,8,986.8789823187401,59.392187841257744,40.13879068198045,99.53097852323819,0.0,5,49,0.9846875006332994,vbbr_brd,verified_gain_tolerance
3,502379,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,5.389504593736987,2.5169818424974912,5.379504593736987,2.5069818424974915,0.4634331171018433,0.32903672773792997,0.18,9,1248.3366533767353,111.49216425552302,73.78032423469637,185.2724884902194,0.0,5,49,1.5623495001345873,vbbr_brd,verified_gain_tolerance
3,502379,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,5.875252427053817,1.589503803615659,5.865252427053817,1.579503803615659,0.3138580162911529,0.5855562634944342,0.18,9,1227.7683739955576,116.4259871920268,58.49507505746255,174.92106224948935,0.0,3,37,1.106827199459076,vbbr_brd,verified_gain_tolerance
3,502379,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,6.722253538118028,1.9989145516354245,6.712253538118028,1.9889145516354245,0.212853661165823,0.5887860516978258,0.16,8,1258.3098705489074,110.66877488596018,60.47251130932481,171.14128619528498,0.0,4,43,1.4369633002206683,vbbr_brd,verified_gain_tolerance
3,502379,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,5.6165453911029,2.435155215749883,5.6065453911029,2.425155215749883,0.2269848421883729,0.6690384695760556,0.18,9,1250.565566405346,113.82487774315089,72.56139573376826,186.38627347691914,0.0,4,43,1.3185996999964118,vbbr_brd,verified_gain_tolerance
3,502379,50,2.5,100.0,40.0,0.01,0.01,8.939154840831117,1.5065809475449887,8.929154840831117,1.4965809475449887,0.14297692878935975,0.8755536586548119,0.16,8,1276.2354289425257,127.66631358266778,52.413476963844005,180.0797905465118,0.0,4,43,1.0968691995367408,vbbr_brd,verified_gain_tolerance
3,502379,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,5.550186103278527,2.4587583325692175,5.540186103278527,2.4487583325692177,0.1864369933879905,0.8154589836727558,0.18,9,1249.9188372326807,113.14804830495957,72.91509008621586,186.0631383911754,0.0,3,37,1.1575527004897594,vbbr_brd,verified_gain_tolerance
3,502379,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,4.7871900837829235,2.349527413941131,4.777190083782924,2.339527413941131,0.17385058603978357,0.9632503021519304,0.18,9,1230.4707450168444,105.0530516216444,71.26352365438795,176.31657527603235,0.0,4,43,1.298454400151968,vbbr_brd,verified_gain_tolerance
